Stanica;Oznaka pruge;Vrsta stanice;Status stanice;Putnici ul/iz;Roba ut/ist;Kategorija pruge;Broj perona;Vrsta pruge;Broj kolosjeka;DO po osovini;DO po duznom m;Status pruge;Dužina;Vrijeme normalni vlak;Vrijeme ubrzani vlak;Vrijeme brzi vlak
Zagreb zapadni kolodvor;M101;kol.;O;DA;DA;M;3;E;2;22,5;8;I;2;4;;
Zagreb glavni kolodvor;M101;kol.;O;DA;DA;M;5;E;2;22,5;8;I;2;4;;12
# 15;;;;;;;;;;;;;;;;
Varaždin;L201;kol.;O;DA;DA;L;3;K;1;20;8;I;0;0;;
Vidovec;L201;staj.;O;DA;NE;L;1;K;1;20;8;I;9;6;;
Cerje Tužno;L201;kol.;O;DA;DA;L;1;K;1;20;8;I;3;5;;
Stažnjevec;L201;staj.;O;DA;NE;L;1;K;1;20;8;I;4;8;;
Ivanec;L201;kol.;O;DA;DA;L;1;K;1;20;8;I;4;9;;
Kuljevèica;L201;staj.;O;DA;NE;L;1;K;1;20;8;I;2;4;;
Lepoglava;L201;kol.;O;DA;DA;L;1;K;1;20;8;I;4;7;;
Golubovec;L201;kol.;O;DA;DA;L;1;K;1;20;8;I;8;13;;
# 16;;;;;;;;;;;;;;;;
Varaždin;R202;kol.;O;DA;DA;R;3;K;1;22,5;8;I;0;0;;0
Zbelava;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;6;6;;
Jalžabet;R202;kol.;O;DA;DA;R;1;K;1;22,5;8;I;6;9;;
Novakovec;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;2;3;;
Martijanec;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;3;3;;
Ludbreg;R202;kol.;O;DA;DA;R;1;K;1;22,5;8;I;6;11;;23
Èukovec;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;5;5;;
Rasinja;R202;kol.;O;DA;DA;R;1;K;1;22,5;8;I;5;7;;
Kunovec-Subotica;R202;staj.;O;DA;NE;R;1;K;1;22,5;8;I;3;4;;
Koprivnica;R202;kol.;O;DA;DA;R;2;K;1;22,5;8;I;6;7;;18
# 20;;;;;;;;;;;;;;;;
Koprivnica;M201;kol.;O;DA;DA;M;2;E;1;22,5;8;I;0;0;;0
Muèna-Reka;M201;kol.;O;DA;NE;M;1;E;1;22,5;8;I;7;7;;
Sokolovac;M201;staj.;O;DA;NE;M;1;E;1;22,5;8;I;5;4;;
Lepavina;M201;kol.;O;DA;DA;M;1;E;1;22,5;8;I;2;5;;
Carevdar;M201;staj.;O;DA;NE;M;1;E;1;22,5;8;I;7;5;;
Vojakovaèki Kloštar;M201;staj.;O;DA;NE;M;1;E;1;22,5;8;I;3;3;;
Majurec;M201;staj.;O;DA;NE;M;1;E;1;22,5;8;I;3;3;;
Križevci;M201;kol.;O;DA;DA;M;2;E;2;22,5;8;I;4;5;;26
Repinec;M201;staj.;O;DA;NE;M;2;E;2;22,5;8;I;7;5;;
Gradec;M201;kol.;O;NE;DA;M;2;E;2;22,5;8;I;5;4;;
Vrbovec;M201;kol.;O;DA;DA;M;2;E;2;22,5;8;I;8;9;;16
Božjakovina;M201;staj.;O;DA;NE;M;2;E;1;22,5;8;I;10;10;;
Dugo Selo;M201;kol.;O;DA;DA;M;2;E;1;22,5;8;I;6;8;;17
# 20;;;;;;;;;;;;;;;;
Dugo Selo;M102;kol.;O;DA;DA;M;2;E;2;22,5;8;I;0;0;0;0
Sesvetski Kraljevec;M102;staj.;O;DA;NE;M;2;E;2;22,5;8;I;6;6;;
Sesvete;M102;kol.;O;DA;DA;M;2;E;2;22,5;8;I;4;6;;
Èulinec;M102;staj.;O;DA;NE;M;2;E;2;22,5;8;I;4;6;;
Trnava;M102;staj.;O;DA;NE;M;2;E;2;22,5;8;I;1;2;;
Maksimir;M102;staj.;O;DA;NE;M;2;E;2;22,5;8;I;1;4;17;
Zagreb glavni kolodvor;M102;kol.;O;DA;DA;M;5;E;2;22,5;8;I;5;7;7;22
# 14;;;;;;;;;;;;;;;;
Zabok;L202;kol.;O;DA;NE;L;1;K;1;18;6,1;I;0;0;;
Hum-Lug;L202;rasp.;O;DA;NE;L;1;K;1;18;6,1;I;2;2;;
Oroslavje;L202;otpr.;O;DA;DA;L;1;K;1;18;6,1;I;2;3;;
Stubièke Toplice;L202;staj.;O;DA;NE;L;1;K;1;18;6,1;I;3;4;;
Donja Stubica;L202;otpr.;O;DA;DA;L;1;K;1;18;6,1;I;2;3;;
Gornja Stubica;L202;kol.;O;DA;DA;L;1;K;1;18;6,1;I;3;4;;
